"y"	"x"	"type"	"predictor"	"rep"	"score"	"value"
"1"	"surv.grps"	"fun.vals"	"func-wise"	"predictorRadialSVM"	1	"auroc"	0.711213517665131
"2"	"surv.grps"	"go.vals"	"func-wise"	"predictorRadialSVM"	1	"auroc"	0.749923195084485
"3"	"surv.grps"	"eff.vals"	"path-wise"	"predictorLinearSVM"	1	"auroc"	0.746236559139784
"4"	"surv.grps"	"path.vals"	"path-wise"	"predictorLinearSVM"	1	"auroc"	0.755145929339477
"5"	"surv.grps"	"path.genes.vals"	"gene-wise"	"predictorLinearSVM"	1	"auroc"	0.676190476190476
"6"	"surv.grps"	"other.genes.vals"	"gene-wise"	"predictorLDA"	1	"auroc"	0.643625192012289
"7"	"surv.grps"	"genes.vals"	"gene-wise"	"predictorLDA"	1	"auroc"	0.636559139784946
"8"	"surv.grps"	"eff.and.other.genes.vals"	"mix-wise"	"predictorLDA"	1	"auroc"	0.64147465437788
"9"	"surv.grps"	"path.and.other.genes.vals"	"mix-wise"	"predictorLinearSVM"	1	"auroc"	0.713364055299539
"10"	"surv.grps"	"fun.vals"	"func-wise"	"predictorRadialSVM"	2	"auroc"	0.621282051282052
"11"	"surv.grps"	"go.vals"	"func-wise"	"predictorRadialSVM"	2	"auroc"	0.664615384615385
"12"	"surv.grps"	"eff.vals"	"path-wise"	"predictorRadialSVM"	2	"auroc"	0.715897435897436
"13"	"surv.grps"	"path.vals"	"path-wise"	"predictorRadialSVM"	2	"auroc"	0.695641025641025
"14"	"surv.grps"	"path.genes.vals"	"gene-wise"	"predictorRadialSVM"	2	"auroc"	0.686410256410257
"15"	"surv.grps"	"other.genes.vals"	"gene-wise"	"predictorRadialSVM"	2	"auroc"	0.702820512820513
"16"	"surv.grps"	"genes.vals"	"gene-wise"	"predictorRadialSVM"	2	"auroc"	0.703333333333333
"17"	"surv.grps"	"eff.and.other.genes.vals"	"mix-wise"	"predictorLinearSVM"	2	"auroc"	0.726153846153846
"18"	"surv.grps"	"path.and.other.genes.vals"	"mix-wise"	"predictorRadialSVM"	2	"auroc"	0.697692307692308
"19"	"surv.grps"	"fun.vals"	"func-wise"	"predictorRadialSVM"	3	"auroc"	0.757350993377483
"20"	"surv.grps"	"go.vals"	"func-wise"	"predictorRadialSVM"	3	"auroc"	0.739337748344371
"21"	"surv.grps"	"eff.vals"	"path-wise"	"predictorRadialSVM"	3	"auroc"	0.766357615894039
"22"	"surv.grps"	"path.vals"	"path-wise"	"predictorRadialSVM"	3	"auroc"	0.802119205298013
"23"	"surv.grps"	"path.genes.vals"	"gene-wise"	"predictorRadialSVM"	3	"auroc"	0.770331125827814
"24"	"surv.grps"	"other.genes.vals"	"gene-wise"	"predictorRadialSVM"	3	"auroc"	0.730331125827815
"25"	"surv.grps"	"genes.vals"	"gene-wise"	"predictorRadialSVM"	3	"auroc"	0.738807947019868
"26"	"surv.grps"	"eff.and.other.genes.vals"	"mix-wise"	"predictorRadialSVM"	3	"auroc"	0.739867549668874
"27"	"surv.grps"	"path.and.other.genes.vals"	"mix-wise"	"predictorRadialSVM"	3	"auroc"	0.777218543046358
"28"	"surv.grps"	"fun.vals"	"func-wise"	"predictorRadialSVM"	4	"auroc"	0.673289183222958
"29"	"surv.grps"	"go.vals"	"func-wise"	"predictorRadialSVM"	4	"auroc"	0.660871964679912
"30"	"surv.grps"	"eff.vals"	"path-wise"	"predictorRadialSVM"	4	"auroc"	0.647075055187638
"31"	"surv.grps"	"path.vals"	"path-wise"	"predictorLDA"	4	"auroc"	0.498068432671082
"32"	"surv.grps"	"path.genes.vals"	"gene-wise"	"predictorRadialSVM"	4	"auroc"	0.67742825607064
"33"	"surv.grps"	"other.genes.vals"	"gene-wise"	"predictorLinearSVM"	4	"auroc"	0.652317880794702
"34"	"surv.grps"	"genes.vals"	"gene-wise"	"predictorLinearSVM"	4	"auroc"	0.652041942604857
"35"	"surv.grps"	"eff.and.other.genes.vals"	"mix-wise"	"predictorRadialSVM"	4	"auroc"	0.675496688741722
"36"	"surv.grps"	"path.and.other.genes.vals"	"mix-wise"	"predictorRadialSVM"	4	"auroc"	0.658112582781457
"37"	"surv.grps"	"fun.vals"	"func-wise"	"predictorRadialSVM"	5	"auroc"	0.725386100386101
"38"	"surv.grps"	"go.vals"	"func-wise"	"predictorLinearSVM"	5	"auroc"	0.671332046332046
"39"	"surv.grps"	"eff.vals"	"path-wise"	"predictorRadialSVM"	5	"auroc"	0.718146718146718
"40"	"surv.grps"	"path.vals"	"path-wise"	"predictorLinearSVM"	5	"auroc"	0.720801158301159
"41"	"surv.grps"	"path.genes.vals"	"gene-wise"	"predictorLinearSVM"	5	"auroc"	0.727316602316602
"42"	"surv.grps"	"other.genes.vals"	"gene-wise"	"predictorLinearSVM"	5	"auroc"	0.757963320463321
"43"	"surv.grps"	"genes.vals"	"gene-wise"	"predictorLinearSVM"	5	"auroc"	0.756274131274131
"44"	"surv.grps"	"eff.and.other.genes.vals"	"mix-wise"	"predictorLinearSVM"	5	"auroc"	0.75530888030888
"45"	"surv.grps"	"path.and.other.genes.vals"	"mix-wise"	"predictorLinearSVM"	5	"auroc"	0.746380308880309
"46"	"surv.grps"	"fun.vals"	"func-wise"	"predictorRadialSVM"	6	"auroc"	0.646655701754386
"47"	"surv.grps"	"go.vals"	"func-wise"	"predictorLinearSVM"	6	"auroc"	0.61266447368421
"48"	"surv.grps"	"eff.vals"	"path-wise"	"predictorRadialSVM"	6	"auroc"	0.661732456140351
"49"	"surv.grps"	"path.vals"	"path-wise"	"predictorLinearSVM"	6	"auroc"	0.663377192982456
"50"	"surv.grps"	"path.genes.vals"	"gene-wise"	"predictorRadialSVM"	6	"auroc"	0.630208333333332
"51"	"surv.grps"	"other.genes.vals"	"gene-wise"	"predictorRadialSVM"	6	"auroc"	0.614583333333333
"52"	"surv.grps"	"genes.vals"	"gene-wise"	"predictorRadialSVM"	6	"auroc"	0.619791666666666
"53"	"surv.grps"	"eff.and.other.genes.vals"	"mix-wise"	"predictorRadialSVM"	6	"auroc"	0.620339912280702
"54"	"surv.grps"	"path.and.other.genes.vals"	"mix-wise"	"predictorLinearSVM"	6	"auroc"	0.595120614035088
"55"	"surv.grps"	"fun.vals"	"func-wise"	"predictorGBM"	7	"auroc"	0.713364055299539
"56"	"surv.grps"	"go.vals"	"func-wise"	"predictorLinearSVM"	7	"auroc"	0.563440860215054
"57"	"surv.grps"	"eff.vals"	"path-wise"	"predictorRadialSVM"	7	"auroc"	0.686328725038402
"58"	"surv.grps"	"path.vals"	"path-wise"	"predictorLinearSVM"	7	"auroc"	0.636559139784946
"59"	"surv.grps"	"path.genes.vals"	"gene-wise"	"predictorLinearSVM"	7	"auroc"	0.630721966205837
"60"	"surv.grps"	"other.genes.vals"	"gene-wise"	"predictorLinearSVM"	7	"auroc"	0.668509984639016
"61"	"surv.grps"	"genes.vals"	"gene-wise"	"predictorLinearSVM"	7	"auroc"	0.661136712749615
"62"	"surv.grps"	"eff.and.other.genes.vals"	"mix-wise"	"predictorLinearSVM"	7	"auroc"	0.663287250384024
"63"	"surv.grps"	"path.and.other.genes.vals"	"mix-wise"	"predictorRadialSVM"	7	"auroc"	0.704454685099846
"64"	"surv.grps"	"fun.vals"	"func-wise"	"predictorRadialSVM"	8	"auroc"	0.718415937803692
"65"	"surv.grps"	"go.vals"	"func-wise"	"predictorLinearSVM"	8	"auroc"	0.687074829931973
"66"	"surv.grps"	"eff.vals"	"path-wise"	"predictorLinearSVM"	8	"auroc"	0.658163265306123
"67"	"surv.grps"	"path.vals"	"path-wise"	"predictorRadialSVM"	8	"auroc"	0.693877551020408
"68"	"surv.grps"	"path.genes.vals"	"gene-wise"	"predictorLinearSVM"	8	"auroc"	0.647473275024295
"69"	"surv.grps"	"other.genes.vals"	"gene-wise"	"predictorLinearSVM"	8	"auroc"	0.683916423712343
"70"	"surv.grps"	"genes.vals"	"gene-wise"	"predictorLinearSVM"	8	"auroc"	0.686345966958212
"71"	"surv.grps"	"eff.and.other.genes.vals"	"mix-wise"	"predictorLinearSVM"	8	"auroc"	0.696064139941691
"72"	"surv.grps"	"path.and.other.genes.vals"	"mix-wise"	"predictorLinearSVM"	8	"auroc"	0.714771622934888
"73"	"surv.grps"	"fun.vals"	"func-wise"	"predictorRadialSVM"	9	"auroc"	0.664677465188974
"74"	"surv.grps"	"go.vals"	"func-wise"	"predictorLinearSVM"	9	"auroc"	0.704461494742825
"75"	"surv.grps"	"eff.vals"	"path-wise"	"predictorRadialSVM"	9	"auroc"	0.73941460642228
"76"	"surv.grps"	"path.vals"	"path-wise"	"predictorRadialSVM"	9	"auroc"	0.72520602443876
"77"	"surv.grps"	"path.genes.vals"	"gene-wise"	"predictorLinearSVM"	9	"auroc"	0.71611253196931
"78"	"surv.grps"	"other.genes.vals"	"gene-wise"	"predictorLinearSVM"	9	"auroc"	0.757317419721512
"79"	"surv.grps"	"genes.vals"	"gene-wise"	"predictorLinearSVM"	9	"auroc"	0.761864165956238
"80"	"surv.grps"	"eff.and.other.genes.vals"	"mix-wise"	"predictorLinearSVM"	9	"auroc"	0.765842568911623
"81"	"surv.grps"	"path.and.other.genes.vals"	"mix-wise"	"predictorLinearSVM"	9	"auroc"	0.770389315146349
"82"	"surv.grps"	"fun.vals"	"func-wise"	"predictorKendallSVM"	10	"auroc"	0.663851351351351
"83"	"surv.grps"	"go.vals"	"func-wise"	"predictorSparseSVM"	10	"auroc"	0.753861003861002
"84"	"surv.grps"	"eff.vals"	"path-wise"	"predictorRadialSVM"	10	"auroc"	0.811293436293436
"85"	"surv.grps"	"path.vals"	"path-wise"	"predictorRadialSVM"	10	"auroc"	0.791988416988417
"86"	"surv.grps"	"path.genes.vals"	"gene-wise"	"predictorRadialSVM"	10	"auroc"	0.754584942084942
"87"	"surv.grps"	"other.genes.vals"	"gene-wise"	"predictorRadialSVM"	10	"auroc"	0.738658301158301
"88"	"surv.grps"	"genes.vals"	"gene-wise"	"predictorRadialSVM"	10	"auroc"	0.743967181467181
"89"	"surv.grps"	"eff.and.other.genes.vals"	"mix-wise"	"predictorRadialSVM"	10	"auroc"	0.748069498069497
"90"	"surv.grps"	"path.and.other.genes.vals"	"mix-wise"	"predictorRadialSVM"	10	"auroc"	0.753137065637065
"91"	"surv.grps"	"fun.vals"	"func-wise"	"predictorRadialSVM"	11	"auroc"	0.857581483230986
"92"	"surv.grps"	"go.vals"	"func-wise"	"predictorRadialSVM"	11	"auroc"	0.828058573452997
"93"	"surv.grps"	"eff.vals"	"path-wise"	"predictorRadialSVM"	11	"auroc"	0.862777515351914
"94"	"surv.grps"	"path.vals"	"path-wise"	"predictorRadialSVM"	11	"auroc"	0.856400566839868
"95"	"surv.grps"	"path.genes.vals"	"gene-wise"	"predictorGBM"	11	"auroc"	0.727444496929617
"96"	"surv.grps"	"other.genes.vals"	"gene-wise"	"predictorRadialSVM"	11	"auroc"	0.785781766650921
"97"	"surv.grps"	"genes.vals"	"gene-wise"	"predictorRadialSVM"	11	"auroc"	0.786962683042041
"98"	"surv.grps"	"eff.and.other.genes.vals"	"mix-wise"	"predictorRadialSVM"	11	"auroc"	0.792867264997638
"99"	"surv.grps"	"path.and.other.genes.vals"	"mix-wise"	"predictorRadialSVM"	11	"auroc"	0.807746811525745
"100"	"surv.grps"	"fun.vals"	"func-wise"	"predictorRadialSVM"	12	"auroc"	0.696280991735537
"101"	"surv.grps"	"go.vals"	"func-wise"	"predictorRadialSVM"	12	"auroc"	0.597992916174734
"102"	"surv.grps"	"eff.vals"	"path-wise"	"predictorRadialSVM"	12	"auroc"	0.659386068476977
"103"	"surv.grps"	"path.vals"	"path-wise"	"predictorRadialSVM"	12	"auroc"	0.734946871310508
"104"	"surv.grps"	"path.genes.vals"	"gene-wise"	"predictorKendallSVM"	12	"auroc"	0.593860684769775
"105"	"surv.grps"	"other.genes.vals"	"gene-wise"	"predictorLinearSVM"	12	"auroc"	0.72461629279811
"106"	"surv.grps"	"genes.vals"	"gene-wise"	"predictorLinearSVM"	12	"auroc"	0.731109799291616
"107"	"surv.grps"	"eff.and.other.genes.vals"	"mix-wise"	"predictorLinearSVM"	12	"auroc"	0.738783943329396
"108"	"surv.grps"	"path.and.other.genes.vals"	"mix-wise"	"predictorLinearSVM"	12	"auroc"	0.770956316410861
"109"	"surv.grps"	"fun.vals"	"func-wise"	"predictorRadialSVM"	13	"auroc"	0.667448876969494
"110"	"surv.grps"	"go.vals"	"func-wise"	"predictorRadialSVM"	13	"auroc"	0.705330204492121
"111"	"surv.grps"	"eff.vals"	"path-wise"	"predictorRadialSVM"	13	"auroc"	0.683875293328863
"112"	"surv.grps"	"path.vals"	"path-wise"	"predictorLinearSVM"	13	"auroc"	0.755950385517935
"113"	"surv.grps"	"path.genes.vals"	"gene-wise"	"predictorLinearSVM"	13	"auroc"	0.684545759302716
"114"	"surv.grps"	"other.genes.vals"	"gene-wise"	"predictorLinearSVM"	13	"auroc"	0.722427086825344
"115"	"surv.grps"	"genes.vals"	"gene-wise"	"predictorLinearSVM"	13	"auroc"	0.717398592021455
"116"	"surv.grps"	"eff.and.other.genes.vals"	"mix-wise"	"predictorLinearSVM"	13	"auroc"	0.717733825008381
"117"	"surv.grps"	"path.and.other.genes.vals"	"mix-wise"	"predictorLinearSVM"	13	"auroc"	0.703654039557494
"118"	"surv.grps"	"fun.vals"	"func-wise"	"predictorGBM"	14	"auroc"	0.742922374429223
"119"	"surv.grps"	"go.vals"	"func-wise"	"predictorRadialSVM"	14	"auroc"	0.689269406392694
"120"	"surv.grps"	"eff.vals"	"path-wise"	"predictorRadialSVM"	14	"auroc"	0.743835616438356
"121"	"surv.grps"	"path.vals"	"path-wise"	"predictorRadialSVM"	14	"auroc"	0.75662100456621
"122"	"surv.grps"	"path.genes.vals"	"gene-wise"	"predictorRadialSVM"	14	"auroc"	0.738356164383561
"123"	"surv.grps"	"other.genes.vals"	"gene-wise"	"predictorLinearSVM"	14	"auroc"	0.728538812785388
"124"	"surv.grps"	"genes.vals"	"gene-wise"	"predictorLinearSVM"	14	"auroc"	0.730365296803653
"125"	"surv.grps"	"eff.and.other.genes.vals"	"mix-wise"	"predictorLinearSVM"	14	"auroc"	0.735616438356164
"126"	"surv.grps"	"path.and.other.genes.vals"	"mix-wise"	"predictorLinearSVM"	14	"auroc"	0.753196347031963
"127"	"surv.grps"	"fun.vals"	"func-wise"	"predictorRadialSVM"	15	"auroc"	0.600603070175438
"128"	"surv.grps"	"go.vals"	"func-wise"	"predictorLinearSVM"	15	"auroc"	0.587445175438596
"129"	"surv.grps"	"eff.vals"	"path-wise"	"predictorLinearSVM"	15	"auroc"	0.599232456140351
"130"	"surv.grps"	"path.vals"	"path-wise"	"predictorRadialSVM"	15	"auroc"	0.621436403508772
"131"	"surv.grps"	"path.genes.vals"	"gene-wise"	"predictorRadialSVM"	15	"auroc"	0.595394736842105
"132"	"surv.grps"	"other.genes.vals"	"gene-wise"	"predictorLinearSVM"	15	"auroc"	0.67516447368421
"133"	"surv.grps"	"genes.vals"	"gene-wise"	"predictorLinearSVM"	15	"auroc"	0.664473684210526
